batch_index,image_index_in_batch,tp,fp,fn,matched_iou_sum,matched_count,prediction_count,ground_truth_count
113,0,9,8,1,5.274134337902069,9,17,10
114,0,19,12,5,13.876946687698364,19,31,24
115,0,9,5,4,6.531831622123718,9,14,13
116,0,5,5,1,3.063082218170166,5,10,6
117,0,2,11,3,1.4232420325279236,2,13,5
118,0,13,1,2,9.967857837677002,13,14,15
119,0,12,5,6,8.911238312721252,12,17,18
120,0,6,4,5,4.071725249290466,6,10,11
121,0,3,2,0,2.4876173734664917,3,5,3
122,0,6,5,1,3.9888492822647095,6,11,7
123,0,3,1,0,2.311892092227936,3,4,3
124,0,7,2,1,4.876590609550476,7,9,8
125,0,5,5,0,3.472218930721283,5,10,5
126,0,7,1,2,5.549511671066284,7,8,9
127,0,4,6,1,2.708607017993927,4,10,5
128,0,3,9,7,2.5222514867782593,3,12,10
129,0,5,4,2,3.0155685544013977,5,9,7
130,0,8,1,2,6.249311566352844,8,9,10
131,0,10,1,7,7.840633809566498,10,11,17
132,0,8,7,3,5.766020774841309,8,15,11
133,0,10,1,6,7.229102790355682,10,11,16
134,0,8,9,1,5.727364420890808,8,17,9
135,0,11,10,0,7.301917552947998,11,21,11
136,0,2,7,1,1.4124040603637695,2,9,3
137,0,9,7,3,6.199682712554932,9,16,12
138,0,2,4,3,1.5863826870918274,2,6,5
139,0,4,2,0,3.346475064754486,4,6,4
140,0,4,7,1,3.3768376111984253,4,11,5
141,0,4,3,0,2.9857800602912903,4,7,4
142,0,12,2,2,9.371461629867554,12,14,14
143,0,8,4,0,5.330554842948914,8,12,8
144,0,2,8,2,1.2726780772209167,2,10,4
145,0,2,6,1,1.1003944277763367,2,8,3
146,0,5,3,0,3.364828884601593,5,8,5
147,0,5,4,1,2.9357911944389343,5,9,6
148,0,3,11,2,1.6692255735397339,3,14,5
149,0,3,3,3,1.9743205904960632,3,6,6
150,0,5,4,3,3.723757266998291,5,9,8
151,0,8,5,3,4.826687812805176,8,13,11
152,0,9,10,1,6.166423141956329,9,19,10
153,0,4,7,2,2.6894864439964294,4,11,6
154,0,7,6,1,4.6385772824287415,7,13,8
155,0,4,4,2,2.6672138571739197,4,8,6
156,0,4,4,2,2.8514187932014465,4,8,6
157,0,3,4,5,2.0321094393730164,3,7,8
158,0,4,1,2,3.042762279510498,4,5,6
159,0,8,2,4,6.3437275886535645,8,10,12
160,0,4,4,0,3.240194261074066,4,8,4
161,0,7,0,5,5.392784893512726,7,7,12
162,0,8,7,2,5.181850850582123,8,15,10
163,0,7,10,6,4.685558795928955,7,17,13
164,0,4,4,1,2.742560029029846,4,8,5
165,0,4,1,0,3.352021813392639,4,5,4
166,0,7,7,0,4.992978990077972,7,14,7
167,0,11,6,1,7.914305031299591,11,17,12
168,0,5,9,1,3.511299192905426,5,14,6
169,0,3,2,0,2.3119577765464783,3,5,3
170,0,4,2,0,3.139310836791992,4,6,4
171,0,5,3,0,3.5368088483810425,5,8,5
172,0,10,6,5,6.719781935214996,10,16,15
173,0,9,3,1,6.439605355262756,9,12,10
174,0,10,0,4,8.053299367427826,10,10,14
175,0,9,8,1,6.599335432052612,9,17,10
176,0,3,1,1,2.8015642166137695,3,4,4
177,0,7,3,1,5.161705195903778,7,10,8
178,0,9,9,1,6.476741969585419,9,18,10
179,0,4,5,0,3.0435386300086975,4,9,4
180,0,10,4,4,7.28825831413269,10,14,14
181,0,2,2,0,1.3612188696861267,2,4,2
182,0,13,3,3,9.782611012458801,13,16,16
183,0,4,1,4,2.9025896191596985,4,5,8
184,0,4,6,1,2.777309238910675,4,10,5
185,0,4,3,1,2.4459553956985474,4,7,5
186,0,11,2,5,7.780287981033325,11,13,16
187,0,4,1,0,3.2536492943763733,4,5,4
188,0,4,1,1,2.739624500274658,4,5,5
189,0,8,3,0,5.352510750293732,8,11,8
190,0,5,0,0,4.197493612766266,5,5,5
191,0,7,3,1,5.266724407672882,7,10,8
192,0,4,5,7,2.5686123967170715,4,9,11
193,0,9,1,6,6.410431325435638,9,10,15
194,0,3,1,0,2.2428165674209595,3,4,3
195,0,10,6,0,7.13886684179306,10,16,10
196,0,13,7,1,8.816258668899536,13,20,14
197,0,7,4,4,5.141099214553833,7,11,11
198,0,6,0,0,3.8377193212509155,6,6,6
199,0,4,6,0,2.9577022790908813,4,10,4
200,0,6,6,1,4.0036932826042175,6,12,7
201,0,3,5,0,1.9190418720245361,3,8,3
202,0,8,7,0,5.396142244338989,8,15,8
203,0,9,2,5,6.686980068683624,9,11,14
