batch_index,image_index_in_batch,tp,fp,fn,matched_iou_sum,matched_count,prediction_count,ground_truth_count
112,0,9,0,2,7.180845856666565,9,9,11
113,0,5,1,5,3.0275042057037354,5,6,10
114,0,12,0,12,8.660585463047028,12,12,24
115,0,6,1,7,4.184243083000183,6,7,13
116,0,5,1,1,3.297092080116272,5,6,6
117,0,2,3,3,1.2253122329711914,2,5,5
118,0,9,1,6,6.836898744106293,9,10,15
119,0,8,0,10,6.3585484623909,8,8,18
120,0,4,1,7,2.645537793636322,4,5,11
121,0,3,1,0,2.538007915019989,3,4,3
122,0,4,1,3,2.756831407546997,4,5,7
123,0,2,1,1,1.7216770648956299,2,3,3
124,0,6,1,2,4.537324666976929,6,7,8
125,0,5,2,0,3.2397965788841248,5,7,5
126,0,4,0,5,2.993124783039093,4,4,9
127,0,3,3,2,2.2631396651268005,3,6,5
128,0,3,1,7,2.0455071926116943,3,4,10
129,0,5,2,2,3.141167461872101,5,7,7
130,0,6,0,4,4.588393568992615,6,6,10
131,0,7,1,10,5.766657114028931,7,8,17
132,0,5,3,6,4.042152523994446,5,8,11
133,0,8,0,8,6.148624122142792,8,8,16
134,0,7,1,2,5.142068088054657,7,8,9
135,0,7,6,4,4.853357791900635,7,13,11
136,0,2,1,1,1.2799093127250671,2,3,3
137,0,8,3,4,5.6876649260520935,8,11,12
138,0,2,2,3,1.5157264471054077,2,4,5
139,0,4,0,0,2.9162200689315796,4,4,4
140,0,4,1,1,3.3009862899780273,4,5,5
141,0,4,0,0,3.249351680278778,4,4,4
142,0,11,0,3,8.074504137039185,11,11,14
143,0,7,0,1,4.7032957673072815,7,7,8
144,0,2,2,2,1.079692304134369,2,4,4
145,0,1,3,2,0.6584245562553406,1,4,3
146,0,3,1,2,2.0812506079673767,3,4,5
147,0,3,2,3,1.7012866139411926,3,5,6
148,0,2,5,3,1.3617334365844727,2,7,5
149,0,4,0,2,2.6501123905181885,4,4,6
150,0,3,0,5,2.1297616362571716,3,3,8
