model_name,model_display_name,training_status,best_checkpoint_path,total_training_seconds,trainable_parameters,precision,recall,f1_score,mean_matched_iou,count_mae,true_positives,false_positives,false_negatives,prediction_count,ground_truth_count,map_map,map_map_50,map_map_75,map_map_small,map_map_medium,map_map_large,map_mar_1,map_mar_10,map_mar_100,map_mar_small,map_mar_medium,map_mar_large,map_map_per_class,map_mar_100_per_class,map_classes
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet50-FPN,completed,/kaggle/working/microplastic_detection_outputs/models/fasterrcnn_resnet50_fpn/fasterrcnn_resnet50_fpn_best.pth,453.38796973228455,41076761,0.6022201665122099,0.7654320987649821,0.6740874962709447,0.7208891645091243,3.161764705882353,1302,860,399,2162,1701,0.31026551127433777,0.7218478918075562,0.20266082882881165,0.16675858199596405,0.41158267855644226,0.5574802756309509,0.06554967910051346,0.35684892535209656,0.41640210151672363,0.32099515199661255,0.5013157725334167,0.6000000238418579,-1.0,-1.0,1.0
retinanet_resnet50_fpn,RetinaNet ResNet50-FPN,completed,/kaggle/working/microplastic_detection_outputs/models/retinanet_resnet50_fpn/retinanet_resnet50_fpn_best.pth,370.0961935520172,31946294,0.8246753246746553,0.5972957084064684,0.692806000194208,0.7255521186686306,2.6323529411764706,1016,216,685,1232,1701,0.2851981222629547,0.7047852873802185,0.16693872213363647,0.14873558282852173,0.38169416785240173,0.5842477083206177,0.06290417164564133,0.3341563642024994,0.41040563583374023,0.29283979535102844,0.5155502557754517,0.6325581669807434,-1.0,-1.0,1.0
ssdlite320_mobilenet_v3_large,SSD/SSDLite MobileNetV3,completed,/kaggle/working/microplastic_detection_outputs/models/ssdlite320_mobilenet_v3_large/ssdlite320_mobilenet_v3_large_best.pth,121.51759815216064,3708680,0.7384615384586982,0.11287477954137985,0.19581845973919063,0.745344032219144,7.25,192,68,1509,260,1701,0.09734939783811569,0.27588531374931335,0.04866040498018265,0.010737196542322636,0.1556689292192459,0.5294229984283447,0.03450911119580269,0.13744856417179108,0.2149323970079422,0.09235437214374542,0.31578946113586426,0.6023255586624146,-1.0,-1.0,1.0
