,count,mean,std,min,25%,50%,75%,max
bbox_width,7126.0,38.316166152119,27.26155233035985,1.0,21.0,30.0,47.0,244.0
bbox_height,7126.0,38.32346337356161,26.353167969419072,1.0,22.0,31.0,47.0,284.0
bbox_area,7126.0,2042.2791187201797,3593.9198046648876,1.0,462.0,891.0,2072.0,66856.0
bbox_area_ratio,7126.0,0.0068210740414738225,0.01248125846332326,3.3076330247311722e-06,0.0015281264574258015,0.0029471010250354743,0.006853415627242988,0.2651591798192365
bbox_aspect_ratio,7126.0,1.0847283571811894,0.5904501547484342,0.07317073170731707,0.7851382488479263,0.974025974025974,1.2062324929971988,8.875
