model_name,model_display_name,epoch,train_loss,learning_rate,epoch_seconds,precision,recall,f1_score,mean_matched_iou,count_mae,true_positives,false_positives,false_negatives,prediction_count,ground_truth_count
retinanet_resnet50_fpn,RetinaNet ResNet50-FPN,1,12.012578434414333,0.0005,61.9319965839386,0.3386996904023719,0.6431510875951539,0.44372338222889235,0.6799192664495003,7.573529411764706,1094,2136,607,3230,1701
retinanet_resnet50_fpn,RetinaNet ResNet50-FPN,2,0.8657189476200275,0.0005,61.47075605392456,0.565999999999717,0.6654908877127187,0.6117265598920169,0.7048419732923313,3.1029411764705883,1132,868,569,2000,1701
retinanet_resnet50_fpn,RetinaNet ResNet50-FPN,3,0.7193629290494654,0.00025,61.387181997299194,0.6574999999995891,0.6184597295704771,0.6373826108299819,0.7050794284826546,2.4558823529411766,1052,548,649,1600,1701
retinanet_resnet50_fpn,RetinaNet ResNet50-FPN,4,0.5832092640921474,0.00025,61.38860559463501,0.7266355140181257,0.5485008818338927,0.6251256276500424,0.7268535372776366,2.8872549019607843,933,351,768,1284,1701
retinanet_resnet50_fpn,RetinaNet ResNet50-FPN,5,0.5505978321242664,0.00025,61.34340500831604,0.8246753246746553,0.5972957084064684,0.692806000194208,0.7255521186686306,2.6323529411764706,1016,216,685,1232,1701
retinanet_resnet50_fpn,RetinaNet ResNet50-FPN,6,0.5412425198592246,0.000125,61.4415225982666,0.7030539311236498,0.6360964138738177,0.6679012340687389,0.724484210368437,2.264705882352941,1082,457,619,1539,1701
